Program,Ver,Arguments,St.,C,D,Size ,%,C.Time ,%,D.Time ,%,Time,Rating,c/d ,R.S.E.,c/d ,R.R.E.,c/d ,Output ,C.M,D.M
zhuff,0.7,-t4,½****,0,1,1 349 988 525,40.9,8.32,373,6.37,307,15s,60,97/11,1698,1955/1363,0,0/0,1 349 948 050,45,42
zhuff,0.7,-t3,½****,1,0,1 349 988 525,40.9,9.17,333,6.37,301,16s,56,88/11,1606,1775/1363,0,0/0,1 349 948 050,36,34
zhuff,0.7,-t2,***,2,2,1 349 988 525,40.9,12.56,230,7.08,265,20s,45,64/10,1271,1295/1227,0,0/0,1 349 948 050,27,26
nanozip,0.09a,-m.5g -cd,*****,0,0,975 311 042,29.6,46.53,360,24.28,297,1m 11s,796,1116/181,1229,1220/1248,27,37/6,975 188 162,521,400
4x4,0.2a,3,****,0,2,1 290 625 233,39.1,14.61,362,11.12,354,26s,66,107/12,1182,1358/952,0,0/0,1 290 383 944,120,90
lzturbo,0.95,-41,****,0,2,1 207 541 975,36.6,20.17,329,17.7,326,38s,113,195/19,1060,1297/789,0,0/0,1 207 441 782,300,367
nanozip,0.09a,-m.5g -cD,*****,0,0,882 175 527,26.7,95.8,359,25.37,305,2m  1s,1309,1527/487,980,808/1629,123,143/46,882 052 647,536,319
nanozip,0.09a,-m.5g -cf,½**,0,5,1 229 920 678,37.3,16.09,344,22.55,300,39s,86,191/11,964,1509/575,0,0/0,1 229 797 798,559,567
4x4,0.2a,2,½*,3,4,1 384 703 061,42,13.08,359,11.54,358,25s,24,42/4,903,1108/670,0,0/0,1 384 461 772,121,93
nanozip,0.09a,-m.5g -cF,½***,0,3,1 108 529 520,33.6,33.36,360,31.84,337,1m  5s,197,354/31,856,1091/610,1,3/0,1 108 406 640,551,559
lz4,1,-c0t4,****,0,2,1 670 093 423,50.6,5.9,332,5.86,167,12s,2,4/0,730,948/510,0,0/0,1 670 050 762,44,41
qpress,0.39,L2,½*,4,3,1 562 970 506,47.4,10.12,386,6.81,327,17s,5,7/1,725,790/627,0,0/0,1 562 887 356,3,3
qpress,1.1,L2,*,4,4,1 562 970 595,47.4,10.11,386,6.84,326,17s,5,7/1,724,792/624,0,0/0,1 562 887 356,3,3
qpress,0.34,L2,½**,2,3,1 562 947 991,47.4,9.87,384,7.39,337,17s,5,8/1,711,810/578,0,0/0,1 562 887 356,3,3
nanozip,0.09a,-m.5g -cdp,½***,1,2,905 169 033,27.4,125.92,290,28.93,202,2m 35s,793,900/331,710,569/1323,58,65/24,905 046 153,529,391
freearc,0.6,-mex2,½**,0,8,938 324 780,28.4,70.44,275,68.62,184,2m 19s,611,1113/96,708,912/500,31,56/5,938 251 052,223,235
qpress,0.34,L1,½***,0,3,1 674 856 693,50.8,5.65,369,6.37,318,12s,2,4/0,703,975/462,0,0/0,1 674 796 058,3,3
nanozip,0.09a,-m.5g -cf -p1,***,0,4,1 206 220 046,36.6,26.5,174,31.58,160,58s,75,151/11,694,992/444,0,0/0,1 206 097 166,546,554
zhuff,0.7,-t1,**,3,3,1 349 988 525,40.9,23.45,119,12.67,145,36s,24,34/5,691,694/686,0,0/0,1 349 948 050,18,18
qpress,0.35b,L2,½*,3,4,1 562 948 014,47.4,10.08,387,7.72,331,18s,5,8/1,690,794/553,0,0/0,1 562 887 356,3,3
qpress,1.1,L1,***,1,3,1 674 879 297,50.8,5.95,369,6.33,325,12s,2,4/0,688,926/465,0,0/0,1 674 796 058,3,3
nanozip,0.08a,-m.5g -cd,½**,1,4,937 076 766,28.4,107.42,119,36.73,170,2m 24s,598,740/183,686,600/937,30,38/9,936 947 230,528,395
freearc,0.6,-mex3,*****,0,0,826 518 667,25,120.86,302,88.11,218,3m 29s,1409,2247/260,684,771/565,246,392/45,826 444 939,220,240
freearc,0.666,-m2,½**,0,8,927 615 799,28.1,73.91,272,75.7,203,2m 30s,640,1194/99,682,900/469,36,68/6,927 540 023,212,241
qpress,0.39,L1,**,2,4,1 674 879 208,50.8,6.06,367,6.39,321,12s,2,4/0,679,909/460,0,0/0,1 674 796 058,3,3
nanozip,0.09a,-m.5g -cdP,****,1,1,884 252 106,26.8,146.81,300,27.92,204,2m 55s,887,974/433,675,524/1470,81,89/40,884 129 226,533,391
qpress,0.35b,L1,½**,1,4,1 674 856 716,50.8,6,368,6.67,317,13s,2,4/0,667,918/441,0,0/0,1 674 796 058,3,3
nanozip,0.08a,-m.5g -cdp,½**,2,3,907 393 698,27.5,128.17,272,36.75,172,2m 45s,727,862/254,662,555/1034,52,61/18,907 264 162,529,395
nanozip,0.09a,-m.5g -cd -p1,***,1,3,934 736 671,28.3,117,117,34,171,2m 31s,586,697/203,660,555/1020,31,36/11,934 613 791,528,391
nanozip,0.09a,-m.5g -cF -p1,**,1,10,1 065 635 784,32.3,50.58,137,48.95,139,1m 40s,207,376/33,647,830/458,3,5/0,1 065 512 904,544,552
freearc,0.666,-m3,½****,0,1,825 660 724,25,130.56,300,92.03,225,3m 43s,1336,2099/252,644,716/542,235,369/44,825 584 948,240,245
lz4,0.9,-t4,*,3,7,1 681 259 224,50.9,6.43,340,6.64,173,13s,2,3/0,633,838/434,0,0/0,1 681 221 210,84,82
nanozip,0.08a,-m.5g -cdP,***,2,2,890 209 290,27,149.55,283,36.2,173,3m  6s,781,895/312,622,504/1112,67,77/27,890 079 754,532,395
