Pos,Program,Switches used,TAR,Q6600,Compressed,Compression,Comp time,Decomp time,Efficiency
1,PAQ8px,-7,N,Y,62443738,80.26,23427,22019,45446
2,PAQ8P,-7,N,Y,62683172,80.19,17976,16653,35562
3,WinRK 3.1.2,Maximum,N,Y,64294243,79.68,14265,13985,34692
4,PAQ8JC,-6 (dir /oen),N,N,66191139,79.08,18908,16212,53237
5,PAQAR 4.5,-7e (dir /oen/b),N,N,68435715,78.37,21322,21410,83103
6,WinRK 3.1.2,High,N,Y,69003458,78.19,1311,980,4745
7,PAsQDa 4.4,-7e,N,N,69109187,78.15,21101,21173,88594
8,NanoZip 0.09a,-cc -m800m,N,Y,69857803,77.92,464,438,2054
9,UDA 0.301,(none),Y,Y,71478767,77.41,3369,3412,18487
10,DURILCA 0.5,-m800 -t1,N,Y,72175578,77.19,738,657,4109
11,Slim 0.23d,-m800 -o64,N,Y,73664683,76.71,1574,1529,10783
12,WinUDA 0.291,mode-3,N,Y,73735574,76.69,3663,3691,25756
13,Slim 0.23d,(none),N,Y,73781972,76.68,1555,1486,10706
14,KGB 1.1 (PAQ6),(very good),N,Y,75341375,76.18,7830,7889,65796
15,NanoZip 0.09a,-cO,N,Y,75720696,76.06,208,45.3,1106
16,ZPAQ 2.05,max.cfg,N,Y,76328559,75.87,1107,1111,10359
17,CCMx 1.30c,6,Y,Y,77079949,75.64,130,126,1300
18,DURILCA 0.5,(none),N,Y,77604453,75.47,947,951,10213
19,PPMonstr J,-m800 -o32,N,Y,77699686,75.44,587,593,6417
20,CCM 1.30c,6,Y,Y,77926922,75.37,107,103,1171
21,UHARC 0.6b,-mx -md32768 -mm+,N,Y,78344876,75.24,278,234,2991
22,FreeARC 0.666,-mx,N,Y,78406220,75.22,83.9,33.5,691
23,PPMonstr J,(none),N,Y,78443862,75.2,568,573,6739
24,CCM 1.30c,(none),Y,Y,78598980,75.15,102,98,1202
25,LPAQ8,8,Y,Y,78704186,75.12,504,507,6147
26,WinRK 3.1.2,Normal,N,Y,78882890,75.07,157,33.5,1181
