class,gui,program,source available,% weighted average,encoding time in seconds,decoding time in seconds,APP,AUDIO (WAV),CAMERA RAW,GUTENBERG,INSTALLER,MOBILE,PGM / PPM,SOURCES,XML,usual file extension,bit depth,cores,when released / developed,where developed (country),algorithms used,program age in years
CM,GUI,NanoZip 0.08  -cc -m2g ('10) Sami Runsas,,105.09608,6933,6718,69728614,344830061,454178452,271181957,572480489,478680399,273691671,31341330,150005854,.nz,win64,1,3-Jun-2010,Finland,Fast CM + filter,4.06
CM,GUI,NanoZip 0.09  -cc -m2g ('11) Sami Runsas,,105.11346,6687,6653,69699825,344830935,454082848,273648068,572487400,478618331,273648831,31322350,149750763,.nz,win64,4,4-Nov-2011,Finland,Fast CM + filter,2.64
CM,◦,ZCM 0.88 -m7 -r -s (2013) Francesco Nania,,108.26542,1723,,75418609,374148733,459900610,286929481,574442060,483725771,264529873,33321514,163973392,.zcm,win32,1,21-Jun-2013,Italy,Fast CM + filter,1.01
CM,◦,ZCM 0.70d -m7 -r -s (2012) Francesco Nania,,109.34725,1968,2379,75621740,386194956,463205174,285838300,574059514,484204751,268775465,33915597,166349880,.zcm,win32,1,16-Oct-2012,Italy,Fast CM + filter,1.69
CM,◦,ZCM 0.60d -m7 -r -s (2012) Francesco Nania,,109.90809,2278,1988,75296590,386587597,479334429,292250083,574089434,483947409,269208615,33841222,164815299,.zcm,win32,1,11-Sep-2012,Italy,Fast CM,1.79
CM,GUI,Precomp 0.4.3 + FreeARC 0.67 ultra +exp B. Ziganshin,☺,110.28251,5261,772,68304203,351107079,489483982,266960540,578428557,463570395,303459585,34744226,184970713,.arc,win32,1,12-Dec-2012,Russia,Dedup. + LZMA + PPMd + GRZip + TTA,1.54
CM,◦,ZCM 0.50 -m7 -r -s (2012) Francesco Nania,,110.36363,2151,2290,75468211,387303577,484866267,295203523,577288969,484732964,274063005,33687899,163874712,.zcm,win32,1,2-Jun-2012,Italy,Fast CM,2.07
CM,◦,ZPAQ 6.23 -method 8 ('13) Matt Mahoney,☺,110.42622,14814,,70980256,425179239,447489322,281886218,576298915,480913794,286018404,30632248,153677859,.zpaq,win64,8,25-Mar-2013,United States,Dedup. + Fast CM + filter,1.25
CM,◦,ZPAQ 6.33 -method 77 ('13) Matt Mahoney,☺,110.60004,11750,,71858850,425204026,447512299,283252643,576622979,480937821,286204166,31381272,157683624,.zpaq,win64,8,21-Jun-2013,United States,Dedup. + Fast CM + filter,1.01
CM,GUI,NanoZip 0.09 -cO -m2g ('11) Sami Runsas,,110.61308,2791,1284,77381984,346114516,469040251,302565445,572140371,484239749,276707145,35424470,172140357,.nz,win64,4,4-Nov-2011,Finland,BWT + LZT + filter,2.64
