RANK  COMPRESSOR                               SIZE        TIME C.  TIME D.  C.EFF.   D.EFF.   C/D EFF. OPTIONS                
1     Nanozip v.0.09a[Sami Runsas,FIN]         1200445707  4349.52  3866.36  187202   171741   179471   a -r -cc -m512m        
2     Nanozip v.0.09a[Sami Runsas,FIN]         1241227827  3281.01  769.69   154641   74279    114460   a -r -cO -m512m        
3     ZCM v.0.91B[Nania Francesco,ITA]         1261100542  947.07   884.76   80750    78756    79753    a -r -s -m7            
4     ZCM v.0.92 [Nania Francesco,ITA]         1261133065  996.11   917.92   82321    79819    81070    a -r -s -m7            
5     ZCM v.0.90 [Nania F.A.,ITA]              1261908705  1007.88  998.06   82729    82414    82571    a -r -s -m7            
6     Zpaq v.6.43 [Matt Mahoney,USA]           1267793753  5116.52  4839.35  214440   205571   210005   -method 6              
7     ZPAQ v.6.51(x64)[Matt Mahoney,USA]       1272473425  5097.61  5295.95  214022   220369   217195   -method 5              
8     ZCM v.0.91B[Nania Francesco,ITA]         1286583468  558.18   535.74   69325    68607    68966    a -r -s -m6 -t2        
9     ZCM v.0.90 [Nania F.A.,ITA]              1288059795  597.11   606.80   70630    70940    70785    a -r -s -m6 -t2        
10    ZCM v.0.91B[Nania Francesco,ITA]         1310561522  343.94   344.84   63429    63457    63443    a -r -s -m5 -t4        
11    ZCM v.0.90 [Nania F.A.,ITA]              1313499911  369.49   356.38   64364    63944    64154    a -r -s -m5 -t4        
12    Nanozip v.0.09a[Sami Runsas,FIN]         1317872543  679.82   188.38   74469    58743    66606    a -r -co -m512m        
13    Packet v.1.1 [Nania Francesco,ITA]       1328565161  1141.97  120.48   89686    56998    73342    a -r -mx -h4 -b512     
14    ARCv.0.666[Bulat Ziganshin,UZB]          1330646151  914.65   169.25   82495    58642    70568    a -r -mx -lc512m -mt8  
15    ZCM v.0.91B[Nania Francesco,ITA]         1332255332  295.23   276.62   62738    62142    62440    a -r -s -m4 -t7        
16    Zpaq v.6.43 [Matt Mahoney,USA]           1336673595  2435.00  1410.14  131387   98591    114989   -method 5              
17    ZCM v.0.92 [Nania Francesco,ITA]         1338417892  299.15   286.38   63110    62701    62905    a -r -s -m4 -t7        
18    ARCv.0.666[Bulat Ziganshin,UZB]          1339191728  877.15   136.81   81636    57946    69791    a -r -m9d -lc512m -mt8 
19    ZPAQ v.6.51 [Matt Mahoney,USA]           1340198217  1541.68  1523.16  102942   102349   102645   -method 4              
20    Packet v.1.1 [Nania Francesco,ITA]       1342145343  869.43   119.29   81508    57503    69505    a -r -m6 -h4 -b512     
21    ARCv.0.666[Bulat Ziganshin,UZB]          1346361797  690.54   156.30   75952    58856    67404    a -r -m5 -mt8          
22    Packet v.1.1 [Nania Francesco,ITA]       1348066094  723.47   123.33   77074    57869    67471    a -r -m4 -h4 -b512     
23    RZM v.0.07h[TAR][C.Martelock,GER]        1353970930  2246.88  335.06   126059   64881    95470    c                      
24    Packet v.1.1 [Nania Francesco,ITA]       1363833882  368.71   120.78   66352    58418    62385    a -r -m0 -h4 -b512     
25    LZHAM v.1.7[TAR][R.Geldreich,Jr.,RUS]    1378824738  7080.62  35.66    281733   56294    169013   -m4 -d29 -x c          
26    7ZIP v.9.20[Igor Pavlov,RUS]             1384047924  769.41   96.70    79983    58456    69219    a -mmt8 -m0=lzma2 -mx9 -
27    CSC32v.3.2final[Fu Siyuan,CHI]           1384484923  598.20   129.57   74522    59526    67024    a -r -mh -d512         
28    RARv.5.01[Alexander Roshal,RUS]          1393907215  317.36   27.80    65912    56646    61279    a -r -s -m5 -ma5 -md512m
29    Nanozip v.0.09a[Sami Runsas,FIN]         1409793513  220.41   35.83    63445    57538    60491    a -r -cDP -m512m       
30    RAR v.5.01[Alexander Roshal,RUS]         1410107710  187.81   25.91    62414    57233    59823    a -r -s -m2 -ma5 -md512m
31    CSC32v.3.2final[Fu Siyuan,CHI]           1418194842  643.24   131.80   77311    60945    69128    a -r -mh -d64          
32    FlashziP v.1.3.0[Nania F.A.,ITA]         1418598265  1014.49  208.54   89208    63417    76312    a -r -mx3 -k7 -s -b512 
33    Zpaq v.6.43 [Matt Mahoney,USA]           1425610945  919.16   393.30   86438    69610    78024    -method 4              
34    ARCv.0.666[Bulat Ziganshin,UZB]          1428999548  186.64   52.73    63132    58847    60989    a -r -m3 -lc512m -mt8  
35    ZPAQ v.6.51(x64)[Matt Mahoney,USA]       1430725853  710.55   349.32   79967    68407    74187    -method 3 -threads 3   
36    LZHAM v.1.7[TAR][R.Geldreich,Jr.,RUS]    1432509062  677.90   34.12    78993    58392    68692    -m1 -d29 -x c          
