,"Amb1
30",amb2 2046 ,amb3 1819 ,"amb4 
40",amb5 50d,amb6 50bc,amb7 48 ,amb8 47
Oc. albi,736,265,6,16,219,469,1441,212
Cx. pipi,434,453,0,0,3,11,33,4
Liodess,41,20,15,27,61,64,162,33
Cx. dolos,70,20,12,4,22,20,87,18
Chironom,22,32,11,3,24,48,86,19
Sigara,9,11,4,1,19,7,89,19
Troplarva,30,18,0,0,12,12,73,11
Baetidae,5,24,2,5,28,27,38,4
Rhantus,14,8,0,1,12,13,35,7
Cx. maxi,8,1,11,10,1,3,19,20
Belostoma,0,8,0,0,1,13,41,2
T. setiger,0,2,1,3,4,5,22,7
T. lateral,7,2,0,0,2,4,9,3
Notonecta,1,0,0,0,4,4,10,4
Desmopac,2,2,1,0,0,3,8,2
Neoplea,1,0,0,0,5,2,7,0
Ephydri,2,2,3,4,1,0,1,1
Zygoptera,0,0,0,0,0,2,11,1
Thermon,0,0,0,0,0,1,10,3
Muscidae,0,0,1,3,4,1,4,0
Anoph,0,0,1,3,0,1,0,5
Buenoa ,0,0,1,0,0,2,7,0
Anisopte,0,0,0,0,3,4,1,0
Stratiom,0,0,0,0,0,0,6,0
Psoroph,1,1,1,0,1,0,2,0
E. circum,3,0,0,0,1,0,2,0
Ceratop,0,0,4,0,0,0,1,0
Cx. tatoi,2,0,0,0,0,2,0,1
