ID,WRKSTAT,MARITAL,AGEWED,SIBS,CHILDS,AGE,BIRTHMO,ZODIAC,EDUC,DEGREE,PADEG,MADEG,SEX,RACE,INCOME91,RINCOM91,REGION,XNORCSIZ,SIZE,PARTYID,VOTE92,POLVIEWS,CAPPUN,GUNLAW,GRASS,RELIG,LIFE,CHLDIDEL,PILLOK,SEXEDUC,SPANKING,LETDIE1,NEWS,TVHOURS,BIGBAND,BLUGRASS,COUNTRY,BLUES,MUSICALS,CLASSICL,FOLK,JAZZ,OPERA,RAP,HVYMETAL,ATTSPRTS,VISITART,TVSHOWS,TVNEWS,TVPBS,SCITEST4,PARTNERS,SEXFREQ,DWELOWN,SEI,COHORT,INCOME4,DEGREE2,AGECAT4,POLITICS,REGION4,MARRIED,CLASSIC3,JAZZ3,RAP3,BLUES3
1,1,3,20,3,1,43,5,2,11,1,7,0,1,1,18,17,2,1,7072,5,1,5,2,2,2,5,2,-1,0,0,0,0,0,4,4,4,3,2,2,1,3,2,2,5,5,2,1,1,1,1,9,1,2,0,"36,1",1950,3,0,3,4,1,2,1,1,3,1
2,1,5,0,2,0,44,8,6,16,3,0,0,1,2,18,18,2,1,7072,0,1,1,2,1,0,4,3,1,3,1,1,1,1,5,2,3,3,1,2,1,2,1,1,4,5,2,1,3,1,3,2,2,2,2,"63,5",1949,3,1,3,1,1,2,1,1,3,1
3,1,3,25,2,0,43,2,11,16,3,1,0,2,1,18,18,2,1,7072,5,1,6,1,1,2,2,3,-1,0,0,0,0,0,2,2,3,3,3,1,1,2,3,1,4,4,2,1,2,1,1,2,1,5,0,"69,2",1950,3,1,3,5,1,2,1,2,3,2
4,2,5,0,4,0,45,99,99,15,1,1,8,2,1,22,22,2,1,7072,5,1,4,1,0,8,1,0,3,2,1,3,2,1,4,8,5,3,3,3,1,5,2,5,5,5,2,1,1,1,1,8,-1,-1,2,"31,4",1948,4,0,3,3,1,2,1,1,3,2
5,5,5,0,1,0,78,10,7,17,4,1,2,2,1,21,0,2,1,7072,3,1,3,2,1,0,1,3,2,1,1,2,2,1,1,2,3,4,1,2,1,1,1,1,8,8,1,1,5,2,3,9,99,9,2,"75,2",1915,4,1,4,2,1,2,1,1,#NULO!,1
6,5,1,25,2,2,83,3,12,11,1,0,0,1,1,13,0,2,1,7072,1,1,2,1,1,2,3,2,-1,0,0,0,0,0,4,1,3,3,1,2,8,3,1,5,3,5,2,2,2,1,2,2,1,2,0,"53,9",1910,1,0,4,1,1,1,#NULO!,1,2,1
7,1,1,22,2,2,55,10,7,12,1,0,0,2,1,19,15,2,1,7072,0,1,2,1,1,1,3,2,-1,0,0,0,0,0,3,1,1,1,2,1,3,2,2,2,5,5,1,2,1,1,3,1,1,4,0,"38,4",1938,3,0,4,1,1,1,2,1,3,1
8,5,1,24,3,2,75,11,9,12,1,0,0,1,1,10,0,2,1,7072,1,2,4,1,1,2,3,2,-1,0,0,0,0,0,3,1,3,3,2,1,1,2,2,2,4,5,1,2,1,1,2,2,1,1,0,"45,8",1918,1,0,4,3,1,1,1,1,3,1
9,1,3,22,1,2,31,7,4,18,4,1,1,1,1,21,20,2,1,7072,6,1,5,8,1,0,2,3,1,2,1,4,1,2,1,3,2,2,2,3,2,2,3,3,3,2,1,1,5,2,3,1,2,6,3,"64,1",1962,4,1,2,4,1,2,1,2,2,1
10,2,5,0,1,0,54,3,12,18,4,0,1,2,1,9,2,2,1,7072,0,1,4,9,1,0,2,3,8,2,1,3,2,2,1,2,3,3,2,1,2,3,3,2,3,5,1,2,4,1,4,2,0,0,2,"80,9",1939,1,1,4,3,1,2,1,2,2,1
11,1,5,0,1,0,29,4,2,18,4,0,0,2,1,16,16,2,1,7072,1,2,1,2,0,2,4,0,3,1,1,4,1,5,2,8,8,3,3,3,3,2,3,5,3,3,1,1,2,1,2,2,4,4,2,"82,7",1964,2,1,1,1,1,2,2,2,2,2
12,1,5,0,0,0,23,10,8,15,1,7,2,2,1,18,3,2,1,7072,1,1,2,1,1,2,1,2,-1,0,0,0,0,0,4,4,2,3,1,2,3,3,2,3,1,3,2,1,2,1,3,1,1,1,0,"26,4",1970,3,0,1,1,1,2,2,1,1,1
13,1,1,31,0,1,61,99,99,12,1,1,1,2,1,14,8,2,1,7072,1,3,2,2,0,1,1,0,1,1,1,2,1,5,3,8,5,1,4,3,2,3,4,5,5,5,2,1,1,1,2,0,-1,-1,2,"63,2",1932,1,0,4,1,1,1,1,3,3,3
14,5,4,24,3,4,63,3,1,4,0,7,0,2,3,5,0,2,1,7072,1,1,4,8,1,2,2,1,-1,0,0,0,0,0,6,3,8,5,4,4,5,3,3,5,5,5,2,2,1,3,5,4,0,0,0,0,1930,1,0,4,3,1,2,3,2,3,3
15,4,5,0,4,3,33,3,12,10,0,8,8,2,3,9,9,2,1,7072,3,2,6,1,1,0,2,3,8,8,1,2,8,2,4,5,5,3,3,5,5,5,1,5,3,5,2,2,1,3,5,4,1,3,2,"31,4",1960,1,0,2,5,1,2,3,1,2,2
